FIPS,location,census population 2010,estimated population 2019
22085,"Sabine County, Louisiana","24,233","23,884"
22087,"St. Bernard County, Louisiana","35,897","47,244"
22089,"St. Charles County, Louisiana","52,780","53,100"
22091,"St. Helena County, Louisiana","11,203","10,132"
22093,"St. James County, Louisiana","22,102","21,096"
22095,"St. John the Baptist County, Louisiana","45,924","42,837"
22097,"St. Landry County, Louisiana","83,384","82,124"
22099,"St. Martin County, Louisiana","52,160","53,431"
22101,"St. Mary County, Louisiana","54,650","49,348"
22103,"St. Tammany County, Louisiana","233,740","260,419"
22105,"Tangipahoa County, Louisiana","121,097","134,758"
22107,"Tensas County, Louisiana","5,252","4,334"
22109,"Terrebonne County, Louisiana","111,860","110,461"
22111,"Union County, Louisiana","22,721","22,108"
22113,"Vermilion County, Louisiana","57,999","59,511"
22115,"Vernon County, Louisiana","52,334","47,429"
22117,"Washington County, Louisiana","47,168","46,194"
22119,"Webster County, Louisiana","41,207","38,340"
22121,"West Baton Rouge County, Louisiana","23,788","26,465"
22123,"West Carroll County, Louisiana","11,604","10,830"
22125,"West Feliciana County, Louisiana","15,625","15,568"
22127,"Winn County, Louisiana","15,313","13,904"
23001,"Androscoggin County, Maine","107,702","108,277"
23003,"Aroostook County, Maine","71,870","67,055"
23005,"Cumberland County, Maine","281,674","295,003"
23007,"Franklin County, Maine","30,768","30,199"
23009,"Hancock County, Maine","54,418","54,987"
23011,"Kennebec County, Maine","122,151","122,302"
23013,"Knox County, Maine","39,736","39,772"
23015,"Lincoln County, Maine","34,457","34,634"
23017,"Oxford County, Maine","57,833","57,975"
23019,"Penobscot County, Maine","153,923","152,148"
23021,"Piscataquis County, Maine","17,535","16,785"
23023,"Sagadahoc County, Maine","35,293","35,856"
23025,"Somerset County, Maine","52,228","50,484"
23027,"Waldo County, Maine","38,786","39,715"
23029,"Washington County, Maine","32,856","31,379"
23031,"York County, Maine","197,131","207,641"
24001,"Allegany County, Maryland","75,087","70,416"
24003,"Anne Arundel County, Maryland","537,656","579,234"
24510,"Baltimore City County, Maryland","620,961","593,490"
24005,"Baltimore County, Maryland","805,029","827,370"
24009,"Calvert County, Maryland","88,737","92,525"
24011,"Caroline County, Maryland","33,066","33,406"
24013,"Carroll County, Maryland","167,134","168,447"
24015,"Cecil County, Maryland","101,108","102,855"
24017,"Charles County, Maryland","146,551","163,257"
24019,"Dorchester County, Maryland","32,618","31,929"
24021,"Frederick County, Maryland","233,385","259,547"
24023,"Garrett County, Maryland","30,097","29,014"
24025,"Harford County, Maryland","244,826","255,441"
24027,"Howard County, Maryland","287,085","325,690"
24029,"Kent County, Maryland","20,197","19,422"
24031,"Montgomery County, Maryland","971,777","1,050,688"
24033,"Prince George's County, Maryland","863,420","909,327"
24035,"Queen Anne's County, Maryland","47,798","50,381"
24039,"Somerset County, Maryland","26,470","25,616"
24037,"St. Mary's County, Maryland","105,151","113,510"
24041,"Talbot County, Maryland","37,782","37,181"
24043,"Washington County, Maryland","147,430","151,049"
24045,"Wicomico County, Maryland","98,733","103,609"
24047,"Worcester County, Maryland","51,454","52,276"
25001,"Barnstable County, Massachusetts","215,888","212,990"
25003,"Berkshire County, Massachusetts","131,219","124,944"
25005,"Bristol County, Massachusetts","548,285","565,217"
25007,"Dukes County, Massachusetts","16,535","17,332"
25009,"Essex County, Massachusetts","743,159","789,034"
25011,"Franklin County, Massachusetts","71,372","70,180"
25013,"Hampden County, Massachusetts","463,490","466,372"
25015,"Hampshire County, Massachusetts","158,080","160,830"
25017,"Middlesex County, Massachusetts","1,503,085","1,611,699"
25019,"Nantucket County, Massachusetts","10,172","11,399"
25021,"Norfolk County, Massachusetts","670,850","706,775"
25023,"Plymouth County, Massachusetts","494,919","521,202"
25025,"Suffolk County, Massachusetts","722,023","803,907"
25027,"Worcester County, Massachusetts","798,552","830,622"
26001,"Alcona County, Michigan","10,942","10,405"
26003,"Alger County, Michigan","9,601","9,108"
26005,"Allegan County, Michigan","111,408","118,081"
26007,"Alpena County, Michigan","29,598","28,405"
26009,"Antrim County, Michigan","23,580","23,324"
26011,"Arenac County, Michigan","15,899","14,883"
26013,"Baraga County, Michigan","8,860","8,209"
26015,"Barry County, Michigan","59,173","61,550"
26017,"Bay County, Michigan","107,771","103,126"
26019,"Benzie County, Michigan","17,525","17,766"
26021,"Berrien County, Michigan","156,813","153,401"
26023,"Branch County, Michigan","45,248","43,517"
26025,"Calhoun County, Michigan","136,146","134,159"
26027,"Cass County, Michigan","52,293","51,787"
26029,"Charlevoix County, Michigan","25,949","26,143"
26031,"Cheboygan County, Michigan","26,152","25,276"
26033,"Chippewa County, Michigan","38,520","37,349"
26035,"Clare County, Michigan","30,926","30,950"
26037,"Clinton County, Michigan","75,382","79,595"
26039,"Crawford County, Michigan","14,074","14,029"
26041,"Delta County, Michigan","37,069","35,784"
26043,"Dickinson County, Michigan","26,168","25,239"
26045,"Eaton County, Michigan","107,759","110,268"
26047,"Emmet County, Michigan","32,694","33,415"
26049,"Genesee County, Michigan","425,790","405,813"
26051,"Gladwin County, Michigan","25,692","25,449"
26053,"Gogebic County, Michigan","16,427","13,975"
26055,"Grand Traverse County, Michigan","86,986","93,088"
26057,"Gratiot County, Michigan","42,476","40,711"
26059,"Hillsdale County, Michigan","46,688","45,605"
26061,"Houghton County, Michigan","36,628","35,684"
26063,"Huron County, Michigan","33,118","30,981"
26065,"Ingham County, Michigan","280,895","292,406"
26067,"Ionia County, Michigan","63,905","64,697"
26069,"Iosco County, Michigan","25,887","25,127"
26071,"Iron County, Michigan","11,817","11,066"
26073,"Isabella County, Michigan","70,311","69,872"
26075,"Jackson County, Michigan","160,248","158,510"
26077,"Kalamazoo County, Michigan","250,331","265,066"
26079,"Kalkaska County, Michigan","17,153","18,038"
26081,"Kent County, Michigan","602,622","656,955"
26083,"Keweenaw County, Michigan","2,156","2,116"
26085,"Lake County, Michigan","11,539","11,853"
26087,"Lapeer County, Michigan","88,319","87,607"
26089,"Leelanau County, Michigan","21,708","21,761"
26091,"Lenawee County, Michigan","99,892","98,451"
26093,"Livingston County, Michigan","180,967","191,995"
26095,"Luce County, Michigan","6,631","6,229"
26097,"Mackinac County, Michigan","11,113","10,799"
26099,"Macomb County, Michigan","840,978","873,972"
26101,"Manistee County, Michigan","24,733","24,558"
26103,"Marquette County, Michigan","67,077","66,699"
26105,"Mason County, Michigan","28,705","29,144"
26107,"Mecosta County, Michigan","42,798","43,453"
26109,"Menominee County, Michigan","24,029","22,780"
26111,"Midland County, Michigan","83,629","83,156"
26113,"Missaukee County, Michigan","14,849","15,118"
26115,"Monroe County, Michigan","152,021","150,500"
26117,"Montcalm County, Michigan","63,342","63,888"
26119,"Montmorency County, Michigan","9,765","9,328"
26121,"Muskegon County, Michigan","172,188","173,566"
26123,"Newaygo County, Michigan","48,460","48,980"
26125,"Oakland County, Michigan","1,202,362","1,257,584"
26127,"Oceana County, Michigan","26,570","26,467"
26129,"Ogemaw County, Michigan","21,699","20,997"
26131,"Ontonagon County, Michigan","6,780","5,720"
26133,"Osceola County, Michigan","23,528","23,460"
26135,"Oscoda County, Michigan","8,640","8,241"
26137,"Otsego County, Michigan","24,164","24,668"
26139,"Ottawa County, Michigan","263,801","291,830"
26141,"Presque Isle County, Michigan","13,376","12,592"
26143,"Roscommon County, Michigan","24,449","24,019"
26145,"Saginaw County, Michigan","200,169","190,539"
26151,"Sanilac County, Michigan","43,114","41,170"
26153,"Schoolcraft County, Michigan","8,485","8,094"
26155,"Shiawassee County, Michigan","70,648","68,122"
26147,"St. Clair County, Michigan","163,040","159,128"
26149,"St. Joseph County, Michigan","61,295","60,964"
26157,"Tuscola County, Michigan","55,729","52,245"
26159,"Van Buren County, Michigan","76,258","75,677"
26161,"Washtenaw County, Michigan","344,791","367,601"
26163,"Wayne County, Michigan","1,820,584","1,749,343"
26165,"Wexford County, Michigan","32,735","33,631"
27001,"Aitkin County, Minnesota","16,202","15,886"
27003,"Anoka County, Minnesota","330,844","356,921"
27005,"Becker County, Minnesota","32,504","34,423"
27007,"Beltrami County, Minnesota","44,442","47,188"
27009,"Benton County, Minnesota","38,451","40,889"
27011,"Big Stone County, Minnesota","5,269","4,991"
27013,"Blue Earth County, Minnesota","64,013","67,653"
27015,"Brown County, Minnesota","25,893","25,008"
27017,"Carlton County, Minnesota","35,386","35,871"
27019,"Carver County, Minnesota","91,042","105,089"
27021,"Cass County, Minnesota","28,567","29,779"
27023,"Chippewa County, Minnesota","12,441","11,800"
27025,"Chisago County, Minnesota","53,887","56,579"
27027,"Clay County, Minnesota","58,999","64,222"
27029,"Clearwater County, Minnesota","8,695","8,818"
27031,"Cook County, Minnesota","5,176","5,463"
27033,"Cottonwood County, Minnesota","11,687","11,196"
27035,"Crow Wing County, Minnesota","62,500","65,055"
27037,"Dakota County, Minnesota","398,552","429,021"
27039,"Dodge County, Minnesota","20,087","20,934"
27041,"Douglas County, Minnesota","36,009","38,141"
27043,"Faribault County, Minnesota","14,553","13,653"
27045,"Fillmore County, Minnesota","20,866","21,067"
27047,"Freeborn County, Minnesota","31,255","30,281"
27049,"Goodhue County, Minnesota","46,183","46,340"
27051,"Grant County, Minnesota","6,018","5,972"
27053,"Hennepin County, Minnesota","1,152,425","1,265,843"
27055,"Houston County, Minnesota","19,027","18,600"
27057,"Hubbard County, Minnesota","20,428","21,491"
27059,"Isanti County, Minnesota","37,816","40,596"
27061,"Itasca County, Minnesota","45,058","45,130"
27063,"Jackson County, Minnesota","10,266","9,846"
27065,"Kanabec County, Minnesota","16,239","16,337"
27067,"Kandiyohi County, Minnesota","42,239","43,199"
27069,"Kittson County, Minnesota","4,552","4,298"
27071,"Koochiching County, Minnesota","13,311","12,229"
27073,"Lac qui Parle County, Minnesota","7,259","6,623"
27075,"Lake County, Minnesota","10,866","10,641"
27077,"Lake of the Woods County, Minnesota","4,045","3,740"
27079,"Le Sueur County, Minnesota","27,703","28,887"
27081,"Lincoln County, Minnesota","5,896","5,639"
27083,"Lyon County, Minnesota","25,857","25,474"
27087,"Mahnomen County, Minnesota","5,413","5,527"
27089,"Marshall County, Minnesota","9,439","9,336"
27091,"Martin County, Minnesota","20,840","19,683"
27085,"McLeod County, Minnesota","36,651","35,893"
27093,"Meeker County, Minnesota","23,300","23,222"
27095,"Mille Lacs County, Minnesota","26,097","26,277"
27097,"Morrison County, Minnesota","33,198","33,386"
27099,"Mower County, Minnesota","39,163","40,062"
27101,"Murray County, Minnesota","8,725","8,194"
27103,"Nicollet County, Minnesota","32,727","34,274"
27105,"Nobles County, Minnesota","21,378","21,629"
27107,"Norman County, Minnesota","6,852","6,375"
27109,"Olmsted County, Minnesota","144,248","158,293"
27111,"Otter Tail County, Minnesota","57,303","58,746"
27113,"Pennington County, Minnesota","13,930","14,119"
27115,"Pine County, Minnesota","29,750","29,579"
27117,"Pipestone County, Minnesota","9,596","9,126"
27119,"Polk County, Minnesota","31,600","31,364"
27121,"Pope County, Minnesota","10,995","11,249"
27123,"Ramsey County, Minnesota","508,640","550,321"
27125,"Red Lake County, Minnesota","4,089","4,055"
27127,"Redwood County, Minnesota","16,059","15,170"
27129,"Renville County, Minnesota","15,730","14,548"
27131,"Rice County, Minnesota","64,142","66,972"
27133,"Rock County, Minnesota","9,687","9,315"
27135,"Roseau County, Minnesota","15,629","15,165"
27139,"Scott County, Minnesota","129,928","149,013"
27141,"Sherburne County, Minnesota","88,499","97,238"
27143,"Sibley County, Minnesota","15,226","14,865"
27137,"St. Louis County, Minnesota","200,226","199,070"
27145,"Stearns County, Minnesota","150,642","161,075"
27147,"Steele County, Minnesota","36,576","36,649"
27149,"Stevens County, Minnesota","9,726","9,805"
27151,"Swift County, Minnesota","9,783","9,266"
27153,"Todd County, Minnesota","24,895","24,664"
27155,"Traverse County, Minnesota","3,558","3,259"
27157,"Wabasha County, Minnesota","21,676","21,627"
27159,"Wadena County, Minnesota","13,843","13,682"
27161,"Waseca County, Minnesota","19,136","18,612"
27163,"Washington County, Minnesota","238,136","262,440"
27165,"Watonwan County, Minnesota","11,211","10,897"
27167,"Wilkin County, Minnesota","6,576","6,207"
27169,"Winona County, Minnesota","51,461","50,484"
27171,"Wright County, Minnesota","124,700","138,377"
27173,"Yellow Medicine County, Minnesota","10,438","9,709"
28001,"Adams County, Mississippi","32,297","30,693"
28003,"Alcorn County, Mississippi","37,057","36,953"
28005,"Amite County, Mississippi","13,131","12,297"
28007,"Attala County, Mississippi","19,564","18,174"
28009,"Benton County, Mississippi","8,729","8,259"
28011,"Bolivar County, Mississippi","34,145","30,628"
28013,"Calhoun County, Mississippi","14,962","14,361"
28015,"Carroll County, Mississippi","10,597","9,947"
28017,"Chickasaw County, Mississippi","17,392","17,103"
28019,"Choctaw County, Mississippi","8,547","8,210"
28021,"Claiborne County, Mississippi","9,604","8,988"
28023,"Clarke County, Mississippi","16,732","15,541"
28025,"Clay County, Mississippi","20,634","19,316"
28027,"Coahoma County, Mississippi","26,151","22,124"
28029,"Copiah County, Mississippi","29,449","28,065"
28031,"Covington County, Mississippi","19,568","18,636"
28033,"DeSoto County, Mississippi","161,252","184,945"
28035,"Forrest County, Mississippi","74,934","74,897"
28037,"Franklin County, Mississippi","8,118","7,713"
28039,"George County, Mississippi","22,578","24,500"
28041,"Greene County, Mississippi","14,400","13,586"
28043,"Grenada County, Mississippi","21,906","20,758"
28045,"Hancock County, Mississippi","43,929","47,632"
28047,"Harrison County, Mississippi","187,105","208,080"
28049,"Hinds County, Mississippi","245,285","231,840"
28051,"Holmes County, Mississippi","19,198","17,010"
28053,"Humphreys County, Mississippi","9,375","8,064"
28055,"Issaquena County, Mississippi","1,406","1,327"
28057,"Itawamba County, Mississippi","23,401","23,390"
28059,"Jackson County, Mississippi","139,668","143,617"
28061,"Jasper County, Mississippi","17,062","16,383"
28063,"Jefferson County, Mississippi","7,726","6,990"
28065,"Jefferson Davis County, Mississippi","12,487","11,128"
28067,"Jones County, Mississippi","67,761","68,098"
28069,"Kemper County, Mississippi","10,456","9,742"
28071,"Lafayette County, Mississippi","47,351","54,019"
28073,"Lamar County, Mississippi","55,658","63,343"
28075,"Lauderdale County, Mississippi","80,261","74,125"
28077,"Lawrence County, Mississippi","12,929","12,586"
28079,"Leake County, Mississippi","23,805","22,786"
28081,"Lee County, Mississippi","82,910","85,436"
28083,"Leflore County, Mississippi","32,317","28,183"
28085,"Lincoln County, Mississippi","34,869","34,153"
28087,"Lowndes County, Mississippi","59,779","58,595"
28089,"Madison County, Mississippi","95,203","106,272"
28091,"Marion County, Mississippi","27,088","24,573"
28093,"Marshall County, Mississippi","37,144","35,294"
28095,"Monroe County, Mississippi","36,989","35,252"
28097,"Montgomery County, Mississippi","10,925","9,775"
28099,"Neshoba County, Mississippi","29,676","29,118"
28101,"Newton County, Mississippi","21,720","21,018"
28103,"Noxubee County, Mississippi","11,545","10,417"
28105,"Oktibbeha County, Mississippi","47,671","49,587"
28107,"Panola County, Mississippi","34,707","34,192"
28109,"Pearl River County, Mississippi","55,834","55,535"
28111,"Perry County, Mississippi","12,250","11,973"
28113,"Pike County, Mississippi","40,404","39,288"
28115,"Pontotoc County, Mississippi","29,957","32,174"
28117,"Prentiss County, Mississippi","25,276","25,126"
28119,"Quitman County, Mississippi","8,223","6,792"
28121,"Rankin County, Mississippi","141,617","155,271"
28123,"Scott County, Mississippi","28,264","28,124"
28125,"Sharkey County, Mississippi","4,916","4,321"
28127,"Simpson County, Mississippi","27,503","26,658"
28129,"Smith County, Mississippi","16,491","15,916"
28131,"Stone County, Mississippi","17,786","18,336"
28133,"Sunflower County, Mississippi","29,450","25,110"
28135,"Tallahatchie County, Mississippi","15,378","13,809"
28137,"Tate County, Mississippi","28,886","28,321"
28139,"Tippah County, Mississippi","22,232","22,015"
28141,"Tishomingo County, Mississippi","19,593","19,383"
28143,"Tunica County, Mississippi","10,778","9,632"
28145,"Union County, Mississippi","27,134","28,815"
28147,"Walthall County, Mississippi","15,443","14,286"
28149,"Warren County, Mississippi","48,773","45,381"
28151,"Washington County, Mississippi","51,137","43,909"
28153,"Wayne County, Mississippi","20,747","20,183"
28155,"Webster County, Mississippi","10,253","9,689"
28157,"Wilkinson County, Mississippi","9,878","8,630"
28159,"Winston County, Mississippi","19,198","17,955"
28161,"Yalobusha County, Mississippi","12,678","12,108"
28163,"Yazoo County, Mississippi","28,065","29,690"
29001,"Adair County, Missouri","25,607","25,343"
29003,"Andrew County, Missouri","17,291","17,712"
29005,"Atchison County, Missouri","5,685","5,143"
29007,"Audrain County, Missouri","25,529","25,388"
29009,"Barry County, Missouri","35,597","35,789"
29011,"Barton County, Missouri","12,402","11,754"
29013,"Bates County, Missouri","17,049","16,172"
29015,"Benton County, Missouri","19,056","19,443"
29017,"Bollinger County, Missouri","12,363","12,133"
29019,"Boone County, Missouri","162,642","180,463"
29021,"Buchanan County, Missouri","89,201","87,364"
29023,"Butler County, Missouri","42,794","42,478"
29025,"Caldwell County, Missouri","9,424","9,020"
29027,"Callaway County, Missouri","44,332","44,743"
29029,"Camden County, Missouri","44,002","46,305"
29031,"Cape Girardeau County, Missouri","75,674","78,871"
29033,"Carroll County, Missouri","9,295","8,679"
29035,"Carter County, Missouri","6,265","5,982"
29037,"Cass County, Missouri","99,478","105,780"
29039,"Cedar County, Missouri","13,982","14,349"
29041,"Chariton County, Missouri","7,831","7,426"
29043,"Christian County, Missouri","77,422","88,595"
29045,"Clark County, Missouri","7,139","6,797"
29047,"Clay County, Missouri","221,939","249,948"
29049,"Clinton County, Missouri","20,743","20,387"
29051,"Cole County, Missouri","75,990","76,745"
29053,"Cooper County, Missouri","17,601","17,709"
29055,"Crawford County, Missouri","24,696","23,920"
29057,"Dade County, Missouri","7,883","7,561"
29059,"Dallas County, Missouri","16,777","16,878"
29061,"Daviess County, Missouri","8,433","8,278"
29063,"DeKalb County, Missouri","12,892","12,547"
29065,"Dent County, Missouri","15,657","15,573"
29067,"Douglas County, Missouri","13,684","13,185"
29069,"Dunklin County, Missouri","31,953","29,131"
29071,"Franklin County, Missouri","101,492","103,967"
29073,"Gasconade County, Missouri","15,222","14,706"
29075,"Gentry County, Missouri","6,738","6,571"
29077,"Greene County, Missouri","275,174","293,086"
29079,"Grundy County, Missouri","10,261","9,850"
29081,"Harrison County, Missouri","8,957","8,352"
29083,"Henry County, Missouri","22,272","21,824"
29085,"Hickory County, Missouri","9,627","9,544"
29087,"Holt County, Missouri","4,912","4,403"
29089,"Howard County, Missouri","10,144","10,001"
29091,"Howell County, Missouri","40,400","40,117"
29093,"Iron County, Missouri","10,630","10,125"
29095,"Jackson County, Missouri","674,158","703,011"
29097,"Jasper County, Missouri","117,404","121,328"
29099,"Jefferson County, Missouri","218,733","225,081"
29101,"Johnson County, Missouri","52,595","54,062"
29103,"Knox County, Missouri","4,131","3,959"
29105,"Laclede County, Missouri","35,571","35,723"
29107,"Lafayette County, Missouri","33,381","32,708"
29109,"Lawrence County, Missouri","38,634","38,355"
29111,"Lewis County, Missouri","10,211","9,776"
29113,"Lincoln County, Missouri","52,566","59,013"
29115,"Linn County, Missouri","12,761","11,920"
29117,"Livingston County, Missouri","15,195","15,227"
29121,"Macon County, Missouri","15,566","15,117"
29123,"Madison County, Missouri","12,226","12,088"
29125,"Maries County, Missouri","9,176","8,697"
29127,"Marion County, Missouri","28,781","28,530"
29119,"McDonald County, Missouri","23,083","22,837"
29129,"Mercer County, Missouri","3,785","3,617"
29131,"Miller County, Missouri","24,748","25,619"
29133,"Mississippi County, Missouri","14,358","13,180"
29135,"Moniteau County, Missouri","15,607","16,132"
29137,"Monroe County, Missouri","8,840","8,644"
29139,"Montgomery County, Missouri","12,236","11,551"
29141,"Morgan County, Missouri","20,565","20,627"
29143,"New Madrid County, Missouri","18,956","17,076"
29145,"Newton County, Missouri","58,114","58,236"
29147,"Nodaway County, Missouri","23,370","22,092"
29149,"Oregon County, Missouri","10,881","10,529"
29151,"Osage County, Missouri","13,878","13,615"
29153,"Ozark County, Missouri","9,723","9,174"
29155,"Pemiscot County, Missouri","18,296","15,805"
29157,"Perry County, Missouri","18,971","19,136"
29159,"Pettis County, Missouri","42,201","42,339"
29161,"Phelps County, Missouri","45,156","44,573"
29163,"Pike County, Missouri","18,516","18,302"
29165,"Platte County, Missouri","89,322","104,418"
29167,"Polk County, Missouri","31,137","32,149"
29169,"Pulaski County, Missouri","52,274","52,607"
29171,"Putnam County, Missouri","4,979","4,696"
29173,"Ralls County, Missouri","10,167","10,309"
29175,"Randolph County, Missouri","25,414","24,748"
29177,"Ray County, Missouri","23,494","23,018"
29179,"Reynolds County, Missouri","6,696","6,270"
29181,"Ripley County, Missouri","14,100","13,288"
29195,"Saline County, Missouri","23,370","22,761"
29197,"Schuyler County, Missouri","4,431","4,660"
29199,"Scotland County, Missouri","4,843","4,902"
29201,"Scott County, Missouri","39,191","38,280"
29203,"Shannon County, Missouri","8,441","8,166"
29205,"Shelby County, Missouri","6,373","5,930"
29183,"St. Charles County, Missouri","360,485","402,022"
29185,"St. Clair County, Missouri","9,805","9,397"
29187,"St. Francois County, Missouri","65,359","67,215"
29510,"St. Louis City County, Missouri","319,294","300,576"
29189,"St. Louis County, Missouri","998,954","994,205"
29186,"Ste. Genevieve County, Missouri","18,145","17,894"
29207,"Stoddard County, Missouri","29,968","29,025"
29209,"Stone County, Missouri","32,202","31,952"
29211,"Sullivan County, Missouri","6,714","6,089"
29213,"Taney County, Missouri","51,675","55,928"
29215,"Texas County, Missouri","26,008","25,398"
29217,"Vernon County, Missouri","21,159","20,563"
29219,"Warren County, Missouri","32,513","35,649"
29221,"Washington County, Missouri","25,195","24,730"
29223,"Wayne County, Missouri","13,521","12,873"
29225,"Webster County, Missouri","36,202","39,592"
29227,"Worth County, Missouri","2,171","2,013"
29229,"Wright County, Missouri","18,815","18,289"
30001,"Beaverhead County, Montana","9,246","9,453"
30003,"Big Horn County, Montana","12,865","13,319"
30005,"Blaine County, Montana","6,491","6,681"
30007,"Broadwater County, Montana","5,612","6,237"
30009,"Carbon County, Montana","10,078","10,725"
30011,"Carter County, Montana","1,160","1,252"
30013,"Cascade County, Montana","81,327","81,366"
30015,"Chouteau County, Montana","5,813","5,635"
30017,"Custer County, Montana","11,699","11,402"
30019,"Daniels County, Montana","1,751","1,690"
30021,"Dawson County, Montana","8,966","8,613"
30023,"Deer Lodge County, Montana","9,298","9,140"
30025,"Fallon County, Montana","2,890","2,846"
30027,"Fergus County, Montana","11,586","11,050"
30029,"Flathead County, Montana","90,928","103,806"
30031,"Gallatin County, Montana","89,513","114,434"
30033,"Garfield County, Montana","1,206","1,258"
30035,"Glacier County, Montana","13,399","13,753"
30037,"Golden Valley County, Montana",884,821
30039,"Granite County, Montana","3,079","3,379"
30041,"Hill County, Montana","16,096","16,484"
30043,"Jefferson County, Montana","11,406","12,221"
30045,"Judith Basin County, Montana","2,072","2,007"
30047,"Lake County, Montana","28,746","30,458"
30049,"Lewis and Clark County, Montana","63,395","69,432"
30051,"Liberty County, Montana","2,339","2,337"
30053,"Lincoln County, Montana","19,687","19,980"
30057,"Madison County, Montana","7,691","8,600"
30055,"McCone County, Montana","1,734","1,664"
30059,"Meagher County, Montana","1,891","1,862"
30061,"Mineral County, Montana","4,223","4,397"
30063,"Missoula County, Montana","109,299","119,600"
30065,"Musselshell County, Montana","4,538","4,633"
30067,"Park County, Montana","15,636","16,606"
30069,"Petroleum County, Montana",494,487
30071,"Phillips County, Montana","4,253","3,954"
30073,"Pondera County, Montana","6,153","5,911"
30075,"Powder River County, Montana","1,743","1,682"
30077,"Powell County, Montana","7,027","6,890"
30079,"Prairie County, Montana","1,179","1,077"
30081,"Ravalli County, Montana","40,212","43,806"
30083,"Richland County, Montana","9,746","10,803"
30085,"Roosevelt County, Montana","10,425","11,004"
30087,"Rosebud County, Montana","9,233","8,937"
30089,"Sanders County, Montana","11,413","12,113"
30091,"Sheridan County, Montana","3,384","3,309"
30093,"Silver Bow County, Montana","34,200","34,915"
30095,"Stillwater County, Montana","9,117","9,642"
30097,"Sweet Grass County, Montana","3,651","3,737"
30099,"Teton County, Montana","6,073","6,147"
30101,"Toole County, Montana","5,324","4,736"
30103,"Treasure County, Montana",718,696
30105,"Valley County, Montana","7,369","7,396"
30107,"Wheatland County, Montana","2,168","2,126"
30109,"Wibaux County, Montana","1,017",969
30111,"Yellowstone County, Montana","147,972","161,300"
31001,"Adams County, Nebraska","31,364","31,363"
31003,"Antelope County, Nebraska","6,685","6,298"
31005,"Arthur County, Nebraska",460,463
31007,"Banner County, Nebraska",690,745
31009,"Blaine County, Nebraska",478,465
31011,"Boone County, Nebraska","5,505","5,192"
31013,"Box Butte County, Nebraska","11,308","10,783"
31015,"Boyd County, Nebraska","2,099","1,919"
31017,"Brown County, Nebraska","3,145","2,955"
31019,"Buffalo County, Nebraska","46,102","49,659"
31021,"Burt County, Nebraska","6,858","6,459"
31023,"Butler County, Nebraska","8,395","8,016"
31025,"Cass County, Nebraska","25,241","26,248"
31027,"Cedar County, Nebraska","8,852","8,402"
31029,"Chase County, Nebraska","3,966","3,924"
31031,"Cherry County, Nebraska","5,713","5,689"
31033,"Cheyenne County, Nebraska","9,998","8,910"
31035,"Clay County, Nebraska","6,542","6,203"
31037,"Colfax County, Nebraska","10,515","10,709"
31039,"Cuming County, Nebraska","9,139","8,846"
31041,"Custer County, Nebraska","10,939","10,777"
31043,"Dakota County, Nebraska","21,006","20,026"
31045,"Dawes County, Nebraska","9,182","8,589"
31047,"Dawson County, Nebraska","24,326","23,595"
31049,"Deuel County, Nebraska","1,941","1,794"
31051,"Dixon County, Nebraska","6,000","5,636"
31053,"Dodge County, Nebraska","36,691","36,565"
31055,"Douglas County, Nebraska","517,110","571,327"
31057,"Dundy County, Nebraska","2,008","1,693"
31059,"Fillmore County, Nebraska","5,890","5,462"
31061,"Franklin County, Nebraska","3,225","2,979"
31063,"Frontier County, Nebraska","2,756","2,627"
31065,"Furnas County, Nebraska","4,959","4,676"
31067,"Gage County, Nebraska","22,311","21,513"
31069,"Garden County, Nebraska","2,057","1,837"
31071,"Garfield County, Nebraska","2,049","1,969"
31073,"Gosper County, Nebraska","2,044","1,990"
31075,"Grant County, Nebraska",614,623
31077,"Greeley County, Nebraska","2,538","2,356"
31079,"Hall County, Nebraska","58,607","61,353"
31081,"Hamilton County, Nebraska","9,124","9,324"
31083,"Harlan County, Nebraska","3,423","3,380"
31085,"Hayes County, Nebraska",967,922
31087,"Hitchcock County, Nebraska","2,908","2,762"
31089,"Holt County, Nebraska","10,435","10,067"
31091,"Hooker County, Nebraska",736,682
31093,"Howard County, Nebraska","6,274","6,445"
31095,"Jefferson County, Nebraska","7,547","7,046"
31097,"Johnson County, Nebraska","5,217","5,071"
31099,"Kearney County, Nebraska","6,489","6,495"
31101,"Keith County, Nebraska","8,368","8,034"
31103,"Keya Paha County, Nebraska",824,806
31105,"Kimball County, Nebraska","3,821","3,632"
31107,"Knox County, Nebraska","8,701","8,332"
31109,"Lancaster County, Nebraska","285,407","319,090"
31111,"Lincoln County, Nebraska","36,288","34,914"
31113,"Logan County, Nebraska",763,748
31115,"Loup County, Nebraska",632,664
31119,"Madison County, Nebraska","34,876","35,099"
31117,"McPherson County, Nebraska",539,494
31121,"Merrick County, Nebraska","7,845","7,755"
31123,"Morrill County, Nebraska","5,042","4,642"
31125,"Nance County, Nebraska","3,735","3,519"
31127,"Nemaha County, Nebraska","7,248","6,972"
31129,"Nuckolls County, Nebraska","4,500","4,148"
31131,"Otoe County, Nebraska","15,740","16,012"
31133,"Pawnee County, Nebraska","2,773","2,613"
31135,"Perkins County, Nebraska","2,970","2,891"
31137,"Phelps County, Nebraska","9,188","9,034"
31139,"Pierce County, Nebraska","7,266","7,148"
