FIPS,location,census population 2010,estimated population 2019
12029,"Dixie County, Florida","16,422","16,826"
12031,"Duval County, Florida","864,263","957,755"
12033,"Escambia County, Florida","297,619","318,316"
12035,"Flagler County, Florida","95,696","115,081"
12037,"Franklin County, Florida","11,549","12,125"
12039,"Gadsden County, Florida","46,389","45,660"
12041,"Gilchrist County, Florida","16,939","18,582"
12043,"Glades County, Florida","12,884","13,811"
12045,"Gulf County, Florida","15,863","13,639"
12047,"Hamilton County, Florida","14,799","14,428"
12049,"Hardee County, Florida","27,731","26,937"
12051,"Hendry County, Florida","39,140","42,022"
12053,"Hernando County, Florida","172,778","193,920"
12055,"Highlands County, Florida","98,786","106,221"
12057,"Hillsborough County, Florida","1,229,226","1,471,968"
12059,"Holmes County, Florida","19,927","19,617"
12061,"Indian River County, Florida","138,028","159,923"
12063,"Jackson County, Florida","49,746","46,414"
12065,"Jefferson County, Florida","14,761","14,246"
12067,"Lafayette County, Florida","8,870","8,422"
12069,"Lake County, Florida","297,052","367,118"
12071,"Lee County, Florida","618,754","770,577"
12073,"Leon County, Florida","275,487","293,582"
12075,"Levy County, Florida","40,801","41,503"
12077,"Liberty County, Florida","8,365","8,354"
12079,"Madison County, Florida","19,224","18,493"
12081,"Manatee County, Florida","322,833","403,253"
12083,"Marion County, Florida","331,298","365,579"
12085,"Martin County, Florida","146,318","161,000"
12086,"Miami-Dade County, Florida","2,496,435","2,716,940"
12087,"Monroe County, Florida","73,090","74,228"
12089,"Nassau County, Florida","73,314","88,625"
12091,"Okaloosa County, Florida","180,822","210,738"
12093,"Okeechobee County, Florida","39,996","42,168"
12095,"Orange County, Florida","1,145,956","1,393,452"
12097,"Osceola County, Florida","268,685","375,751"
12099,"Palm Beach County, Florida","1,320,134","1,496,770"
12101,"Pasco County, Florida","464,697","553,947"
12103,"Pinellas County, Florida","916,542","974,996"
12105,"Polk County, Florida","602,095","724,777"
12107,"Putnam County, Florida","74,364","74,521"
12113,"Santa Rosa County, Florida","151,372","184,313"
12115,"Sarasota County, Florida","379,448","433,742"
12117,"Seminole County, Florida","422,718","471,826"
12109,"St. Johns County, Florida","190,039","264,672"
12111,"St. Lucie County, Florida","277,789","328,297"
12119,"Sumter County, Florida","93,420","132,420"
12121,"Suwannee County, Florida","41,551","44,417"
12123,"Taylor County, Florida","22,570","21,569"
12125,"Union County, Florida","15,535","15,237"
12127,"Volusia County, Florida","494,593","553,284"
12129,"Wakulla County, Florida","30,776","33,739"
12131,"Walton County, Florida","55,043","74,071"
12133,"Washington County, Florida","24,896","25,473"
13001,"Appling County, Georgia","18,236","18,386"
13003,"Atkinson County, Georgia","8,375","8,165"
13005,"Bacon County, Georgia","11,096","11,164"
13007,"Baker County, Georgia","3,451","3,038"
13009,"Baldwin County, Georgia","45,720","44,890"
13011,"Banks County, Georgia","18,395","19,234"
13013,"Barrow County, Georgia","69,367","83,240"
13015,"Bartow County, Georgia","100,157","107,738"
13017,"Ben Hill County, Georgia","17,634","16,700"
13019,"Berrien County, Georgia","19,286","19,397"
13021,"Bibb County, Georgia","155,547","153,159"
13023,"Bleckley County, Georgia","13,063","12,873"
13025,"Brantley County, Georgia","18,411","19,109"
13027,"Brooks County, Georgia","16,243","15,457"
13029,"Bryan County, Georgia","30,233","39,627"
13031,"Bulloch County, Georgia","70,217","79,608"
13033,"Burke County, Georgia","23,316","22,383"
13035,"Butts County, Georgia","23,655","24,936"
13037,"Calhoun County, Georgia","6,694","6,189"
13039,"Camden County, Georgia","50,513","54,666"
13043,"Candler County, Georgia","10,998","10,803"
13045,"Carroll County, Georgia","110,527","119,992"
13047,"Catoosa County, Georgia","63,942","67,580"
13049,"Charlton County, Georgia","12,171","13,392"
13051,"Chatham County, Georgia","265,128","289,430"
13053,"Chattahoochee County, Georgia","11,267","10,907"
13055,"Chattooga County, Georgia","26,015","24,789"
13057,"Cherokee County, Georgia","214,346","258,773"
13059,"Clarke County, Georgia","116,714","128,331"
13061,"Clay County, Georgia","3,183","2,834"
13063,"Clayton County, Georgia","259,424","292,256"
13065,"Clinch County, Georgia","6,798","6,618"
13067,"Cobb County, Georgia","688,078","760,141"
13069,"Coffee County, Georgia","42,356","43,273"
13071,"Colquitt County, Georgia","45,498","45,600"
13073,"Columbia County, Georgia","124,053","156,714"
13075,"Cook County, Georgia","17,212","17,270"
13077,"Coweta County, Georgia","127,317","148,509"
13079,"Crawford County, Georgia","12,630","12,404"
13081,"Crisp County, Georgia","23,439","22,372"
13083,"Dade County, Georgia","16,633","16,116"
13085,"Dawson County, Georgia","22,330","26,108"
13087,"Decatur County, Georgia","27,842","26,404"
13089,"DeKalb County, Georgia","691,893","759,297"
13091,"Dodge County, Georgia","21,796","20,605"
13093,"Dooly County, Georgia","14,918","13,390"
13095,"Dougherty County, Georgia","94,565","87,956"
13097,"Douglas County, Georgia","132,403","146,343"
13099,"Early County, Georgia","11,008","10,190"
13101,"Echols County, Georgia","4,034","4,006"
13103,"Effingham County, Georgia","52,250","64,296"
13105,"Elbert County, Georgia","20,166","19,194"
13107,"Emanuel County, Georgia","22,598","22,646"
13109,"Evans County, Georgia","11,000","10,654"
13111,"Fannin County, Georgia","23,682","26,188"
13113,"Fayette County, Georgia","106,567","114,421"
13115,"Floyd County, Georgia","96,317","98,498"
13117,"Forsyth County, Georgia","175,511","244,252"
13119,"Franklin County, Georgia","22,084","23,349"
13121,"Fulton County, Georgia","920,581","1,063,937"
13123,"Gilmer County, Georgia","28,292","31,369"
13125,"Glascock County, Georgia","3,082","2,971"
13127,"Glynn County, Georgia","79,626","85,292"
13129,"Gordon County, Georgia","55,186","57,963"
13131,"Grady County, Georgia","25,011","24,633"
13133,"Greene County, Georgia","15,994","18,324"
13135,"Gwinnett County, Georgia","805,321","936,250"
13137,"Habersham County, Georgia","43,041","45,328"
13139,"Hall County, Georgia","179,684","204,441"
13141,"Hancock County, Georgia","9,429","8,457"
13143,"Haralson County, Georgia","28,780","29,792"
13145,"Harris County, Georgia","32,024","35,236"
13147,"Hart County, Georgia","25,213","26,205"
13149,"Heard County, Georgia","11,834","11,923"
13151,"Henry County, Georgia","203,922","234,561"
13153,"Houston County, Georgia","139,900","157,863"
13155,"Irwin County, Georgia","9,538","9,416"
13157,"Jackson County, Georgia","60,485","72,977"
13159,"Jasper County, Georgia","13,900","14,219"
13161,"Jeff Davis County, Georgia","15,068","15,115"
13163,"Jefferson County, Georgia","16,930","15,362"
13165,"Jenkins County, Georgia","8,340","8,676"
13167,"Johnson County, Georgia","9,980","9,643"
13169,"Jones County, Georgia","28,669","28,735"
13171,"Lamar County, Georgia","18,317","19,077"
13173,"Lanier County, Georgia","10,078","10,423"
13175,"Laurens County, Georgia","48,434","47,546"
13177,"Lee County, Georgia","28,298","29,992"
13179,"Liberty County, Georgia","63,453","61,435"
13181,"Lincoln County, Georgia","7,996","7,921"
13183,"Long County, Georgia","14,464","19,559"
13185,"Lowndes County, Georgia","109,233","117,406"
13187,"Lumpkin County, Georgia","29,966","33,610"
13193,"Macon County, Georgia","14,740","12,947"
13195,"Madison County, Georgia","28,120","29,880"
13197,"Marion County, Georgia","8,742","8,359"
13189,"McDuffie County, Georgia","21,875","21,312"
13191,"McIntosh County, Georgia","14,333","14,378"
13199,"Meriwether County, Georgia","21,992","21,167"
13201,"Miller County, Georgia","6,125","5,718"
13205,"Mitchell County, Georgia","23,498","21,863"
13207,"Monroe County, Georgia","26,424","27,578"
13209,"Montgomery County, Georgia","9,123","9,172"
13211,"Morgan County, Georgia","17,868","19,276"
13213,"Murray County, Georgia","39,628","40,096"
13215,"Muscogee County, Georgia","189,885","195,769"
13217,"Newton County, Georgia","99,958","111,744"
13219,"Oconee County, Georgia","32,808","40,280"
13221,"Oglethorpe County, Georgia","14,899","15,259"
13223,"Paulding County, Georgia","142,324","168,667"
13225,"Peach County, Georgia","27,695","27,546"
13227,"Pickens County, Georgia","29,431","32,591"
13229,"Pierce County, Georgia","18,758","19,465"
13231,"Pike County, Georgia","17,869","18,962"
13233,"Polk County, Georgia","41,475","42,613"
13235,"Pulaski County, Georgia","12,010","11,137"
13237,"Putnam County, Georgia","21,218","22,119"
13239,"Quitman County, Georgia","2,513","2,299"
13241,"Rabun County, Georgia","16,276","17,137"
13243,"Randolph County, Georgia","7,719","6,778"
13245,"Richmond County, Georgia","200,549","202,518"
13247,"Rockdale County, Georgia","85,215","90,896"
13249,"Schley County, Georgia","5,010","5,257"
13251,"Screven County, Georgia","14,593","13,966"
13253,"Seminole County, Georgia","8,729","8,090"
13255,"Spalding County, Georgia","64,073","66,703"
13257,"Stephens County, Georgia","26,175","25,925"
13259,"Stewart County, Georgia","6,058","6,621"
13261,"Sumter County, Georgia","32,819","29,524"
13263,"Talbot County, Georgia","6,865","6,195"
13265,"Taliaferro County, Georgia","1,717","1,537"
13267,"Tattnall County, Georgia","25,520","25,286"
13269,"Taylor County, Georgia","8,906","8,020"
13271,"Telfair County, Georgia","16,500","15,860"
13273,"Terrell County, Georgia","9,315","8,531"
13275,"Thomas County, Georgia","44,720","44,451"
13277,"Tift County, Georgia","40,118","40,644"
13279,"Toombs County, Georgia","27,223","26,830"
13281,"Towns County, Georgia","10,471","12,037"
