table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Wabasha County, Minnesota",-38,468,"2,188","1,720",-498,53,-551,-18,49,235,186,-68,4,-72
".Wadena County, Minnesota",-161,-158,"1,670","1,828",9,16,-7,-41,9,186,177,-48,1,-49
".Waseca County, Minnesota",-526,435,"1,964","1,529",-965,1,-966,-52,55,204,149,-107,-4,-103
".Washington County, Minnesota","24,331","12,024","26,047","14,023","12,517","2,315","10,202","3,541","1,010","2,722","1,712","2,544",124,"2,420"
".Watonwan County, Minnesota",-314,311,"1,421","1,110",-630,369,-999,-110,49,162,113,-160,43,-203
".Wilkin County, Minnesota",-369,-53,669,722,-317,-32,-285,-37,-10,73,83,-28,-5,-23
".Winona County, Minnesota",-977,519,"4,348","3,829","-1,502",521,"-2,023",-251,16,456,440,-267,25,-292
".Wright County, Minnesota","13,680","9,589","16,589","7,000","4,193",541,"3,652","2,064",902,"1,734",832,"1,173",41,"1,132"
".Yellow Medicine County, Minnesota",-729,-12,"1,052","1,064",-720,14,-734,-90,13,108,95,-102,2,-104
".Adams County, Mississippi","-1,607",-364,"3,438","3,802","-1,282","1,485","-2,767",-351,-89,340,429,-263,151,-414
".Alcorn County, Mississippi",-109,-217,"4,017","4,234",140,27,113,143,-46,411,457,190,-7,197
".Amite County, Mississippi",-839,-170,"1,212","1,382",-673,-13,-660,-30,-20,125,145,-9,-2,-7
".Attala County, Mississippi","-1,388",-254,"2,253","2,507","-1,131",-10,"-1,121",-154,-12,221,233,-141,0,-141
".Benton County, Mississippi",-469,-76,870,946,-403,-31,-372,16,-4,88,92,20,-3,23
".Bolivar County, Mississippi","-3,525",750,"4,522","3,772","-4,289",119,"-4,408",-487,7,405,398,-496,23,-519
".Calhoun County, Mississippi",-596,-48,"1,599","1,647",-539,65,-604,-71,-2,165,167,-68,7,-75
".Carroll County, Mississippi",-650,-156,817,973,-487,-12,-475,27,-17,84,101,44,-2,46
".Chickasaw County, Mississippi",-289,576,"2,274","1,698",-863,159,"-1,022",3,31,231,200,-26,19,-45
".Choctaw County, Mississippi",-341,-48,821,869,-286,11,-297,-55,-26,80,106,-27,1,-28
".Claiborne County, Mississippi",-609,168,"1,082",914,-807,48,-855,-84,12,113,101,-97,1,-98
".Clarke County, Mississippi","-1,187",-166,"1,764","1,930","-1,020",6,"-1,026",-44,-3,199,202,-40,0,-40
".Clay County, Mississippi","-1,332",-83,"2,083","2,166","-1,246",36,"-1,282",-88,-21,209,230,-66,4,-70
".Coahoma County, Mississippi","-4,021","1,015","3,790","2,775","-5,081",-31,"-5,050",-481,73,355,282,-555,-7,-548
".Copiah County, Mississippi","-1,383",364,"3,359","2,995","-1,743",150,"-1,893",-335,30,339,309,-363,11,-374
".Covington County, Mississippi",-937,-14,"2,415","2,429",-918,36,-954,-189,5,237,232,-196,5,-201
".DeSoto County, Mississippi","23,678","7,476","19,405","11,929","16,221",635,"15,586","3,013",694,"2,121","1,427","2,323",66,"2,257"
".Forrest County, Mississippi",35,"2,883","9,749","6,866","-2,874","1,242","-4,116",-15,236,"1,000",764,-250,154,-404
".Franklin County, Mississippi",-405,-135,792,927,-272,15,-287,-45,-4,84,88,-40,3,-43
".George County, Mississippi","1,917",928,"3,335","2,407",994,274,720,390,98,347,249,292,2,290
".Greene County, Mississippi",-805,22,"1,227","1,205",-847,43,-890,-410,17,143,126,-431,13,-444
".Grenada County, Mississippi","-1,140",-253,"2,482","2,735",-876,-26,-850,-226,-41,247,288,-185,-3,-182
".Hancock County, Mississippi","3,609",-2,"4,387","4,389","3,600",91,"3,509",354,-20,453,473,372,-22,394
".Harrison County, Mississippi","20,971","7,494","25,342","17,848","13,511","2,917","10,594","1,796",584,"2,597","2,013","1,208",120,"1,088"
".Hinds County, Mississippi","-13,524","10,514","30,057","19,543","-24,217","2,100","-26,317","-3,984",831,"2,953","2,122","-4,831",187,"-5,018"
".Holmes County, Mississippi","-2,473",390,"2,388","1,998","-2,884",-2,"-2,882",-434,-2,219,221,-431,0,-431
".Humphreys County, Mississippi","-1,309",183,"1,069",886,"-1,516",46,"-1,562",-192,-15,94,109,-176,2,-178
".Issaquena County, Mississippi",-72,6,116,110,-81,0,-81,20,-5,10,15,26,0,26
".Itawamba County, Mississippi",-11,-94,"2,440","2,534",99,40,59,-71,3,257,254,-72,8,-80
".Jackson County, Mississippi","3,948","2,679","15,016","12,337","1,332","2,567","-1,235",490,158,"1,588","1,430",338,76,262
".Jasper County, Mississippi",-690,164,"1,968","1,804",-857,-14,-843,-42,-4,182,186,-37,-2,-35
".Jefferson County, Mississippi",-742,177,950,773,-930,0,-930,-103,1,81,80,-104,0,-104
".Jefferson Davis County, Mississippi","-1,343",-180,"1,260","1,440","-1,164",-5,"-1,159",-87,-35,124,159,-50,-1,-49
".Jones County, Mississippi",330,"1,851","8,820","6,969","-1,488",144,"-1,632",-98,70,883,813,-166,20,-186
".Kemper County, Mississippi",-696,-118,820,938,-585,-4,-581,9,-23,90,113,33,0,33
".Lafayette County, Mississippi","6,658","1,544","5,037","3,493","4,974",356,"4,618",477,118,513,395,361,19,342
".Lamar County, Mississippi","7,611","3,382","7,271","3,889","4,184",104,"4,080",706,355,793,438,351,34,317
".Lauderdale County, Mississippi","-6,155","1,309","9,293","7,984","-7,503",233,"-7,736","-1,113",49,910,861,"-1,166",-26,"-1,140"
".Lawrence County, Mississippi",-365,99,"1,475","1,376",-465,-3,-462,138,-5,145,150,145,0,145
".Leake County, Mississippi","-1,017",513,"2,800","2,287","-1,528",-39,"-1,489",-5,25,299,274,-30,-7,-23
".Lee County, Mississippi","2,526","2,301","10,727","8,426",275,140,135,160,156,"1,121",965,6,18,-12
".Leflore County, Mississippi","-4,199",984,"4,382","3,398","-5,265",69,"-5,334",-433,49,412,363,-483,-5,-478
".Lincoln County, Mississippi",-713,266,"4,065","3,799",-960,80,"-1,040",-57,10,413,403,-65,6,-71
".Lowndes County, Mississippi","-1,184","1,716","7,305","5,589","-2,886",912,"-3,798",-165,164,774,610,-328,89,-417
".Madison County, Mississippi","11,069","2,668","11,900","9,232","8,379","1,254","7,125",624,160,"1,267","1,107",465,121,344
".Marion County, Mississippi","-2,507",-227,"2,885","3,112","-2,290",6,"-2,296",-179,-29,278,307,-149,5,-154
".Marshall County, Mississippi","-1,857",126,"3,959","3,833","-1,974",-24,"-1,950",-142,-53,393,446,-86,-5,-81
".Monroe County, Mississippi","-1,727",-91,"3,835","3,926","-1,631",-19,"-1,612",-291,-26,387,413,-266,-1,-265
".Montgomery County, Mississippi","-1,158",-167,"1,187","1,354",-994,24,"-1,018",-219,-31,120,151,-187,2,-189
".Neshoba County, Mississippi",-574,565,"4,005","3,440","-1,129",-25,"-1,104",-33,58,435,377,-90,-3,-87
".Newton County, Mississippi",-697,191,"2,670","2,479",-882,40,-922,-337,13,284,271,-351,0,-351
".Noxubee County, Mississippi","-1,129",333,"1,467","1,134","-1,475",59,"-1,534",-133,33,161,128,-167,6,-173
".Oktibbeha County, Mississippi","1,930","2,372","5,188","2,816",-479,880,"-1,359",338,182,548,366,156,114,42
".Panola County, Mississippi",-506,952,"4,646","3,694","-1,441",214,"-1,655",36,76,487,411,-38,24,-62
".Pearl River County, Mississippi",-204,-31,"5,861","5,892",-151,-200,49,212,-71,610,681,285,-30,315
".Perry County, Mississippi",-278,81,"1,302","1,221",-360,-26,-334,55,13,128,115,41,-3,44
".Pike County, Mississippi","-1,113",431,"5,119","4,688","-1,533",22,"-1,555",-92,9,540,531,-100,4,-104
".Pontotoc County, Mississippi","2,228","1,332","4,035","2,703",895,134,761,293,152,434,282,143,24,119
".Prentiss County, Mississippi",-148,186,"2,908","2,722",-329,25,-354,38,9,289,280,32,0,32
".Quitman County, Mississippi","-1,430",-50,880,930,"-1,396",33,"-1,429",-263,-30,80,110,-233,3,-236
".Rankin County, Mississippi","13,219","6,699","17,019","10,320","6,585",923,"5,662","1,021",435,"1,696","1,261",590,92,498
".Scott County, Mississippi",-136,"1,575","4,262","2,687","-1,712",497,"-2,209",-195,139,451,312,-335,20,-355
".Sharkey County, Mississippi",-595,40,605,565,-644,7,-651,-54,15,65,50,-69,1,-70
".Simpson County, Mississippi",-842,177,"2,980","2,803","-1,003",76,"-1,079",-59,-8,305,313,-50,3,-53
".Smith County, Mississippi",-572,220,"1,762","1,542",-795,4,-799,-113,6,186,180,-121,1,-122
".Stone County, Mississippi",546,312,"1,958","1,646",211,20,191,339,36,204,168,301,-1,302
".Sunflower County, Mississippi","-4,273",151,"2,955","2,804","-4,515",43,"-4,558","-1,101",-32,275,307,"-1,078",3,"-1,081"
".Tallahatchie County, Mississippi","-1,576",53,"1,485","1,432","-1,644",-78,"-1,566",-152,0,162,162,-151,-7,-144
".Tate County, Mississippi",-551,473,"3,128","2,655","-1,037",20,"-1,057",-26,27,347,320,-51,-6,-45
".Tippah County, Mississippi",-217,31,"2,504","2,473",-239,28,-267,-24,19,262,243,-44,0,-44
".Tishomingo County, Mississippi",-220,-785,"1,856","2,641",580,49,531,0,-88,195,283,89,3,86
".Tunica County, Mississippi","-1,146",772,"1,743",971,"-1,938",50,"-1,988",-290,67,169,102,-359,3,-362
".Union County, Mississippi","1,672",702,"3,375","2,673",982,311,671,200,71,355,284,130,36,94
".Walthall County, Mississippi","-1,154",-76,"1,642","1,718","-1,083",-11,"-1,072",-150,-28,165,193,-120,-2,-118
".Warren County, Mississippi","-3,389",835,"5,682","4,847","-4,224",152,"-4,376",-712,58,576,518,-770,16,-786
".Washington County, Mississippi","-7,226","1,219","6,660","5,441","-8,517",112,"-8,629","-1,127",-43,565,608,"-1,088",19,"-1,107"
".Wayne County, Mississippi",-564,557,"2,613","2,056","-1,117",-24,"-1,093",-113,40,257,217,-154,-1,-153
".Webster County, Mississippi",-575,-193,"1,110","1,303",-382,-19,-363,-99,-39,112,151,-60,-3,-57
".Wilkinson County, Mississippi","-1,248",-124,979,"1,103","-1,132",-7,"-1,125",-151,-34,88,122,-117,-1,-116
".Winston County, Mississippi","-1,246",-290,"1,827","2,117",-950,-11,-939,-209,-60,190,250,-150,0,-150
".Yalobusha County, Mississippi",-570,-175,"1,422","1,597",-390,-14,-376,-253,-20,145,165,-234,-3,-231
".Yazoo County, Mississippi","1,625",447,"3,169","2,722","1,142",464,678,597,34,312,278,558,43,515
".Adair County, Missouri",-263,436,"2,426","1,990",-702,810,"-1,512",-133,74,267,193,-208,99,-307
".Andrew County, Missouri",416,204,"1,715","1,511",223,-21,244,50,29,190,161,22,-2,24
".Atchison County, Missouri",-540,-212,473,685,-335,15,-350,-40,-31,41,72,-9,2,-11
".Audrain County, Missouri",-143,382,"3,126","2,744",-514,24,-538,-35,37,309,272,-72,4,-76
".Barry County, Missouri",188,23,"3,863","3,840",196,242,-46,77,7,410,403,72,7,65
".Barton County, Missouri",-642,15,"1,281","1,266",-665,12,-677,-36,19,133,114,-56,0,-56
".Bates County, Missouri",-875,-185,"1,733","1,918",-695,1,-696,-132,10,181,171,-141,-1,-140
".Benton County, Missouri",386,"-1,198","1,496","2,694","1,587",-13,"1,600",146,-131,174,305,276,-3,279
".Bollinger County, Missouri",-225,-28,"1,231","1,259",-195,-1,-194,-56,-11,127,138,-46,0,-46
".Boone County, Missouri","17,811","9,621","19,338","9,717","8,202","5,626","2,576","1,402",859,"2,015","1,156",544,522,22
".Buchanan County, Missouri","-1,827","1,894","10,684","8,790","-3,707","1,749","-5,456",-799,175,"1,068",893,-974,163,"-1,137"
".Butler County, Missouri",-314,-215,"5,034","5,249",-55,3,-58,-109,-68,498,566,-39,3,-42
".Caldwell County, Missouri",-398,-79,857,936,-325,14,-339,-51,-9,91,100,-41,2,-43
".Callaway County, Missouri",412,"1,013","4,593","3,580",-577,206,-783,-211,34,470,436,-246,14,-260
".Camden County, Missouri","2,289",-662,"3,736","4,398","2,938",40,"2,898",392,-154,381,535,546,-12,558
".Cape Girardeau County, Missouri","3,197","1,381","8,407","7,026","1,875","1,219",656,233,161,899,738,75,128,-53
".Carroll County, Missouri",-615,-159,935,"1,094",-456,12,-468,-47,-30,84,114,-16,-2,-14
".Carter County, Missouri",-285,-5,711,716,-284,-10,-274,-101,-17,72,89,-85,-1,-84
".Cass County, Missouri","6,280","2,373","10,902","8,529","3,979",209,"3,770","1,011",135,"1,128",993,880,4,876
".Cedar County, Missouri",367,-247,"1,627","1,874",624,-22,646,213,-21,186,207,236,-3,239
".Chariton County, Missouri",-385,-75,788,863,-309,8,-317,-31,-16,82,98,-14,0,-14
".Christian County, Missouri","11,181","3,796","9,403","5,607","7,363",53,"7,310","1,551",361,"1,025",664,"1,188",10,"1,178"
".Clark County, Missouri",-332,-47,713,760,-287,27,-314,-36,5,72,67,-41,4,-45
".Clay County, Missouri","28,042","12,600","28,265","15,665","15,486","1,568","13,918","3,588","1,248","3,051","1,803","2,340",109,"2,231"
".Clinton County, Missouri",-356,-197,"2,106","2,303",-160,-40,-120,-48,-19,219,238,-27,-2,-25
".Cole County, Missouri",770,"2,538","8,442","5,904","-1,739",629,"-2,368",25,179,863,684,-153,57,-210
".Cooper County, Missouri",105,48,"1,805","1,757",70,81,-11,83,18,202,184,68,12,56
".Crawford County, Missouri",-799,-170,"2,563","2,733",-620,-30,-590,-48,-46,250,296,-1,-4,3
".Dade County, Missouri",-318,-332,627,959,10,29,-19,-3,-43,66,109,41,5,36
".Dallas County, Missouri",109,130,"1,901","1,771",-22,-25,3,96,6,213,207,93,-1,94
".Daviess County, Missouri",-151,264,"1,072",808,-410,8,-418,-56,37,117,80,-92,0,-92
".DeKalb County, Missouri",-337,-132,991,"1,123",-205,-35,-170,32,-16,98,114,49,-5,54
".Dent County, Missouri",-119,-120,"1,634","1,754",7,57,-50,26,-10,174,184,37,6,31
".Douglas County, Missouri",-501,-148,"1,401","1,549",-350,-54,-296,-174,-25,155,180,-149,-7,-142
".Dunklin County, Missouri","-2,826",-109,"3,946","4,055","-2,732",195,"-2,927",-347,-90,357,447,-258,29,-287
".Franklin County, Missouri","2,499","2,166","11,402","9,236",408,97,311,251,139,"1,186","1,047",118,12,106
".Gasconade County, Missouri",-500,-436,"1,440","1,876",-48,0,-48,26,-45,152,197,73,-1,74
".Gentry County, Missouri",-169,18,839,821,-185,12,-197,-27,-7,83,90,-19,0,-19
".Greene County, Missouri","17,907","7,037","32,289","25,252","10,948","2,430","8,518","2,032",496,"3,269","2,773","1,534",224,"1,310"
".Grundy County, Missouri",-410,161,"1,382","1,221",-568,83,-651,-125,33,151,118,-159,6,-165
".Harrison County, Missouri",-609,-80,974,"1,054",-526,-24,-502,-42,-28,86,114,-13,-3,-10
".Henry County, Missouri",-467,-490,"2,347","2,837",39,-35,74,16,-54,236,290,70,-6,76
".Hickory County, Missouri",-85,-652,705,"1,357",568,-9,577,86,-50,87,137,135,-3,138
".Holt County, Missouri",-509,-109,452,561,-401,0,-401,-9,-14,43,57,6,0,6
".Howard County, Missouri",-141,157,"1,087",930,-302,36,-338,-58,20,107,87,-78,0,-78
".Howell County, Missouri",-269,81,"4,732","4,651",-320,101,-421,-9,-4,504,508,-2,9,-11
".Iron County, Missouri",-490,-378,960,"1,338",-111,31,-142,-62,-54,98,152,-7,2,-9
".Jackson County, Missouri","28,845","29,533","87,040","57,507",-95,"6,473","-6,568","2,227","2,499","8,996","6,497",-243,602,-845
".Jasper County, Missouri","3,937","4,457","15,367","10,910",-449,"1,079","-1,528",873,351,"1,543","1,192",523,100,423
".Jefferson County, Missouri","6,359","5,860","24,063","18,203",693,500,193,671,314,"2,464","2,150",368,39,329
".Johnson County, Missouri","1,497","2,915","6,608","3,693","-1,425","1,029","-2,454",441,308,686,378,135,41,94
".Knox County, Missouri",-172,12,467,455,-186,0,-186,-6,1,52,51,-6,0,-6
".Laclede County, Missouri",127,708,"4,388","3,680",-576,-34,-542,127,78,474,396,51,-2,53
".Lafayette County, Missouri",-661,-59,"3,419","3,478",-593,-23,-570,166,-15,356,371,185,-7,192
".Lawrence County, Missouri",-292,393,"4,601","4,208",-672,-121,-551,91,41,502,461,53,-22,75
".Lewis County, Missouri",-433,43,"1,078","1,035",-475,-3,-472,-63,22,125,103,-83,-2,-81
".Lincoln County, Missouri","6,477","2,665","6,841","4,176","3,839",59,"3,780","1,400",323,790,467,"1,074",2,"1,072"
".Linn County, Missouri",-853,-317,"1,269","1,586",-530,37,-567,-119,-39,124,163,-79,5,-84
".Livingston County, Missouri",31,-249,"1,488","1,737",271,41,230,46,-12,153,165,58,3,55
".McDonald County, Missouri",-246,976,"3,041","2,065","-1,230",278,"-1,508",-126,144,364,220,-269,24,-293
".Macon County, Missouri",-449,-166,"1,639","1,805",-277,43,-320,-50,-11,182,193,-38,6,-44
".Madison County, Missouri",-129,-249,"1,292","1,541",122,42,80,-100,-42,135,177,-57,-2,-55
".Maries County, Missouri",-456,-172,757,929,-283,34,-317,-73,-15,76,91,-57,4,-61
".Marion County, Missouri",-251,356,"3,376","3,020",-580,109,-689,-10,36,346,310,-44,12,-56
".Mercer County, Missouri",-168,4,416,412,-171,10,-181,-9,6,48,42,-14,1,-15
".Miller County, Missouri",871,191,"2,767","2,576",702,-25,727,304,25,301,276,281,-4,285
".Mississippi County, Missouri","-1,196",-197,"1,465","1,662",-997,-30,-967,-214,-49,141,190,-164,0,-164
".Moniteau County, Missouri",527,550,"1,901","1,351",-12,119,-131,-54,40,205,165,-93,17,-110
".Monroe County, Missouri",-200,-12,860,872,-186,0,-186,8,-5,87,92,15,0,15
".Montgomery County, Missouri",-673,-245,"1,239","1,484",-432,33,-465,63,-13,127,140,74,2,72
".Morgan County, Missouri",60,-322,"2,408","2,730",385,-34,419,213,-18,271,289,229,-6,235
".New Madrid County, Missouri","-1,864",-131,"2,097","2,228","-1,738",0,"-1,738",-196,-38,204,242,-160,0,-160
".Newton County, Missouri",118,853,"6,646","5,793",-703,133,-836,78,73,692,619,9,6,3
".Nodaway County, Missouri","-1,281",270,"2,051","1,781","-1,567",110,"-1,677",-131,9,195,186,-141,4,-145
".Oregon County, Missouri",-352,-156,"1,153","1,309",-193,-21,-172,-29,-35,111,146,7,1,6
".Osage County, Missouri",-294,190,"1,396","1,206",-485,8,-493,-37,11,142,131,-48,0,-48
".Ozark County, Missouri",-554,-370,793,"1,163",-176,-18,-158,104,-51,80,131,155,0,155
".Pemiscot County, Missouri","-2,482",307,"2,467","2,160","-2,802",-59,"-2,743",-451,-12,224,236,-441,-8,-433
".Perry County, Missouri",165,207,"2,054","1,847",-25,50,-75,-138,0,222,222,-140,10,-150
".Pettis County, Missouri",125,"1,359","5,384","4,025","-1,209",288,"-1,497",-102,153,577,424,-255,15,-270
".Phelps County, Missouri",-551,669,"4,748","4,079","-1,246","1,736","-2,982",22,40,461,421,-18,173,-191
".Pike County, Missouri",-209,180,"2,019","1,839",-390,4,-394,-200,17,206,189,-217,0,-217
".Platte County, Missouri","15,089","4,818","10,835","6,017","10,279","1,822","8,457","1,654",498,"1,191",693,"1,154",208,946
".Polk County, Missouri","1,019",288,"3,548","3,260",749,-40,789,-65,11,399,388,-76,-13,-63
".Pulaski County, Missouri",325,"4,516","7,312","2,796","-4,301","2,625","-6,926",610,379,676,297,231,48,183
".Putnam County, Missouri",-283,-56,528,584,-224,-6,-218,-52,0,55,55,-53,0,-53
".Ralls County, Missouri",134,58,919,861,77,0,77,75,25,101,76,49,0,49
".Randolph County, Missouri",-670,117,"2,640","2,523",-789,42,-831,16,53,292,239,-37,5,-42
".Ray County, Missouri",-498,-10,"2,345","2,355",-492,-19,-473,73,-17,262,279,89,-4,93
".Reynolds County, Missouri",-420,-239,556,795,-176,0,-176,-12,-27,64,91,17,0,17
".Ripley County, Missouri",-818,-180,"1,560","1,740",-630,-18,-612,-132,-67,137,204,-67,-2,-65
".St. Charles County, Missouri","41,527","16,943","41,469","24,526","24,719","4,445","20,274","3,242","1,301","4,289","2,988","1,954",387,"1,567"
".St. Clair County, Missouri",-408,-435,882,"1,317",31,-42,73,8,-42,92,134,51,-5,56
".Ste. Genevieve County, Missouri",-253,-94,"1,707","1,801",-155,124,-279,17,5,204,199,14,-1,15
".St. Francois County, Missouri","1,846",-362,"6,721","7,083","2,223",-23,"2,246",478,-81,693,774,559,-7,566
".St. Louis County, Missouri","-4,780","16,331","106,783","90,452","-20,836","17,717","-38,553","-1,014",825,"11,089","10,264","-1,826","1,722","-3,548"
".Saline County, Missouri",-609,228,"2,556","2,328",-833,387,"-1,220",-129,-1,240,241,-129,45,-174
".Schuyler County, Missouri",229,141,618,477,89,18,71,66,27,76,49,39,2,37
".Scotland County, Missouri",49,212,731,519,-164,-10,-154,-36,33,73,40,-69,0,-69
".Scott County, Missouri",-919,651,"4,643","3,992","-1,545",30,"-1,575",-261,28,482,454,-286,-6,-280
".Shannon County, Missouri",-269,17,844,827,-283,2,-285,-23,11,92,81,-35,0,-35
".Shelby County, Missouri",-442,-68,684,752,-372,7,-379,-67,25,76,51,-93,0,-93
".Stoddard County, Missouri",-943,-346,"3,230","3,576",-569,-16,-553,-239,-60,328,388,-179,-2,-177
".Stone County, Missouri",-256,"-1,223","2,342","3,565",994,-6,"1,000",251,-150,253,403,401,-5,406
".Sullivan County, Missouri",-625,94,785,691,-726,180,-906,-144,15,86,71,-159,10,-169
".Taney County, Missouri","4,256",677,"5,806","5,129","3,587",238,"3,349",209,60,615,555,152,7,145
".Texas County, Missouri",-618,-69,"2,685","2,754",-532,-60,-472,-108,-22,268,290,-86,-11,-75
".Vernon County, Missouri",-600,21,"2,316","2,295",-612,125,-737,71,15,242,227,58,3,55
".Warren County, Missouri","3,110","1,167","3,820","2,653","1,960",25,"1,935",883,103,416,313,778,7,771
".Washington County, Missouri",-471,168,"2,708","2,540",-624,-4,-620,-203,3,274,271,-207,-1,-206
".Wayne County, Missouri",-662,-519,"1,296","1,815",-139,-11,-128,-259,-77,124,201,-182,-2,-180
".Webster County, Missouri","3,328","1,983","5,035","3,052","1,361",-10,"1,371",413,194,572,378,218,0,218
".Worth County, Missouri",-156,-66,212,278,-91,0,-91,-13,5,23,18,-18,0,-18
".Wright County, Missouri",-453,69,"2,255","2,186",-517,-44,-473,102,0,243,243,104,-7,111
".St. Louis city, Missouri","-18,713","13,918","41,686","27,768","-32,543","7,776","-40,319","-2,843",859,"3,938","3,079","-3,680",734,"-4,414"
".Beaverhead County, Montana",207,9,807,798,196,115,81,41,-22,77,99,62,13,49
".Big Horn County, Montana",456,"1,295","2,460","1,165",-839,103,-942,-46,112,244,132,-158,12,-170
".Blaine County, Montana",190,338,960,622,-148,101,-249,-93,18,81,63,-111,4,-115
".Broadwater County, Montana",629,-22,487,509,648,-14,662,165,9,60,51,154,-1,155
".Carbon County, Montana",647,-205,700,905,848,32,816,34,-13,73,86,48,2,46
".Carter County, Montana",92,5,136,131,87,0,87,22,4,19,15,19,0,19
".Cascade County, Montana",40,"2,825","10,524","7,699","-2,753",759,"-3,512",-322,269,"1,054",785,-589,6,-595
".Chouteau County, Montana",-178,-109,448,557,-71,44,-115,-105,-20,44,64,-86,1,-87
".Custer County, Montana",-297,65,"1,369","1,304",-358,14,-372,-190,-22,126,148,-169,2,-171
".Daniels County, Montana",-61,-41,166,207,-21,18,-39,-39,3,17,14,-42,1,-43
".Dawson County, Montana",-350,102,998,896,-473,-28,-445,-67,-10,73,83,-57,-1,-56
".Deer Lodge County, Montana",-154,-490,667,"1,157",339,-19,358,11,-51,69,120,62,-3,65
".Fallon County, Montana",-44,149,428,279,-196,-2,-194,-66,11,37,26,-77,0,-77
".Fergus County, Montana",-540,-358,"1,092","1,450",-174,70,-244,-67,-26,104,130,-41,10,-51
".Flathead County, Montana","12,879","2,377","10,303","7,926","10,453",30,"10,423","1,789",196,"1,113",917,"1,587",-42,"1,629"
".Gallatin County, Montana","24,919","5,836","10,887","5,051","18,837","1,465","17,372","2,752",650,"1,262",612,"2,084",111,"1,973"
".Garfield County, Montana",49,13,131,118,33,0,33,1,2,14,12,-2,0,-2
".Glacier County, Montana",354,931,"2,260","1,329",-580,139,-719,-75,96,238,142,-172,3,-175
".Golden Valley County, Montana",-63,-5,78,83,-58,0,-58,-1,7,12,5,-6,0,-6
".Granite County, Montana",305,-136,175,311,439,32,407,8,-18,16,34,26,4,22
".Hill County, Montana",388,"1,339","2,749","1,410",-951,93,"-1,044",142,128,289,161,14,7,7
".Jefferson County, Montana",818,-135,842,977,959,58,901,127,-33,105,138,160,2,158
".Judith Basin County, Montana",-65,-33,135,168,-32,7,-39,61,-2,12,14,62,1,61
".Lake County, Montana","1,710",572,"3,274","2,702","1,161",172,989,238,-14,317,331,256,-5,261
".Lewis and Clark County, Montana","6,038","1,568","7,040","5,472","4,479",99,"4,380",810,89,742,653,723,-17,740
".Liberty County, Montana",-2,2,204,202,-5,1,-6,-79,-4,16,20,-74,-1,-73
".Lincoln County, Montana",297,-685,"1,589","2,274",989,78,911,183,-124,158,282,306,9,297
".McCone County, Montana",-70,-18,153,171,-51,0,-51,-5,1,16,15,-7,0,-7
".Madison County, Montana",909,-169,537,706,"1,074",175,899,70,-25,53,78,95,0,95
".Meagher County, Montana",-29,-65,164,229,37,10,27,5,-5,12,17,10,1,9
".Mineral County, Montana",168,-94,392,486,262,-13,275,90,-19,37,56,110,-2,112
".Missoula County, Montana","10,304","3,212","11,126","7,914","7,109","1,271","5,838",960,244,"1,131",887,715,112,603
".Musselshell County, Montana",95,-148,385,533,244,55,189,1,-29,41,70,29,3,26
".Park County, Montana",971,-54,"1,361","1,415","1,021",52,969,-42,-12,154,166,-28,-4,-24
".Petroleum County, Montana",-1,-15,23,38,14,-1,15,-25,-6,2,8,-19,0,-19
".Phillips County, Montana",-298,-9,461,470,-293,6,-299,-106,-5,42,47,-102,0,-102
".Pondera County, Montana",-244,76,703,627,-321,105,-426,-49,21,77,56,-69,13,-82
".Powder River County, Montana",-61,-51,136,187,-14,5,-19,-38,4,21,17,-44,0,-44
".Powell County, Montana",-144,-215,505,720,70,9,61,-63,-27,57,84,-36,1,-37
".Prairie County, Montana",-102,-43,116,159,-62,8,-70,7,5,12,7,3,0,3
".Ravalli County, Montana","3,596",-536,"3,525","4,061","4,141",-55,"4,196",640,-114,370,484,753,-17,770
".Richland County, Montana","1,057",537,"1,388",851,466,-110,576,-52,44,125,81,-94,-16,-78
".Roosevelt County, Montana",579,836,"2,108","1,272",-270,28,-298,-65,35,205,170,-101,6,-107
".Rosebud County, Montana",-298,640,"1,440",800,-945,42,-987,-103,39,137,98,-142,1,-143
".Sanders County, Montana",700,-274,999,"1,273",981,3,978,266,-16,112,128,281,-1,282
".Sheridan County, Montana",-75,-129,369,498,43,34,9,-77,-8,41,49,-69,0,-69
".Silver Bow County, Montana",706,-233,"3,603","3,836",960,673,287,176,-55,364,419,232,51,181
".Stillwater County, Montana",546,-40,761,801,587,89,498,159,-5,77,82,166,9,157
".Sweet Grass County, Montana",86,-78,300,378,166,20,146,34,1,34,33,33,2,31
".Teton County, Montana",76,105,716,611,-28,58,-86,30,16,77,61,15,6,9
".Toole County, Montana",-588,102,535,433,-697,-24,-673,-99,19,63,44,-119,-4,-115
".Treasure County, Montana",-22,3,80,77,-24,0,-24,23,6,8,2,18,0,18
".Valley County, Montana",27,52,787,735,-24,33,-57,-10,27,85,58,-38,2,-40
".Wheatland County, Montana",-42,10,226,216,-53,40,-93,-58,5,26,21,-63,-2,-61
".Wibaux County, Montana",-48,-36,102,138,-19,0,-19,-61,0,10,10,-63,0,-63
