table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
".Petersburg Borough, Alaska",59,162,341,179,-104,74,-178,22,1,30,29,21,2,19
".Prince of Wales-Hyder Census Area, Alaska",35,236,683,447,-201,23,-224,-157,6,59,53,-164,2,-166
".Sitka City and Borough, Alaska",-388,253,845,592,-649,327,-976,-61,19,77,58,-80,16,-96
".Skagway Municipality, Alaska",215,64,99,35,147,3,144,14,-6,8,14,20,0,20
".Southeast Fairbanks Census Area, Alaska",-136,624,"1,036",412,-775,209,-984,-44,74,109,35,-117,12,-129
".Valdez-Cordova Census Area, Alaska",-434,606,"1,132",526,"-1,060",52,"-1,112",41,60,118,58,-19,-6,-13
".Wrangell City and Borough, Alaska",137,23,212,189,116,58,58,-36,-13,21,34,-25,5,-30
".Yakutat City and Borough, Alaska",-83,42,65,23,-129,17,-146,-17,3,4,1,-21,1,-22
".Yukon-Koyukuk Census Area, Alaska",-358,237,778,541,-605,20,-625,-129,7,76,69,-137,2,-139
".Apache County, Arizona",370,"3,417","9,127","5,710","-3,067",504,"-3,571",156,232,934,702,-75,37,-112
".Cochise County, Arizona","-5,437","2,604","14,452","11,848","-8,272","2,499","-10,771",-489,36,"1,348","1,312",-529,66,-595
".Coconino County, Arizona","9,050","7,792","15,157","7,365","1,238","1,311",-73,953,612,"1,513",901,338,25,313
".Gila County, Arizona",426,"-1,531","5,452","6,983","1,994",212,"1,782",217,-297,514,811,513,9,504
".Graham County, Arizona","1,625","2,507","5,180","2,673",-910,322,"-1,232",842,203,526,323,637,30,607
".Greenlee County, Arizona","1,054",711,"1,254",543,319,134,185,50,95,144,49,-44,8,-52
".La Paz County, Arizona",619,-555,"1,848","2,403","1,195",611,584,69,-119,191,310,191,68,123
