State Name,County Name,Census 2010,Population Estimate 2019
California,Mariposa County,"18,251","17,203"
California,Mendocino County,"87,841","86,749"
California,Merced County,"255,793","277,680"
California,Modoc County,"9,686","8,841"
California,Mono County,"14,202","14,444"
California,Monterey County,"415,057","434,061"
California,Napa County,"136,484","137,744"
California,Nevada County,"98,764","99,755"
California,Orange County,"3,010,232","3,175,692"
California,Placer County,"348,432","398,329"
California,Plumas County,"20,007","18,807"
California,Riverside County,"2,189,641","2,470,546"
California,Sacramento County,"1,418,788","1,552,058"
California,San Benito County,"55,269","62,808"
California,San Bernardino County,"2,035,210","2,180,085"
California,San Diego County,"3,095,313","3,338,330"
California,San Francisco County,"805,235","881,549"
California,San Joaquin County,"685,306","762,148"
California,San Luis Obispo County,"269,637","283,111"
California,San Mateo County,"718,451","766,573"
California,Santa Barbara County,"423,895","446,499"
California,Santa Clara County,"1,781,642","1,927,852"
California,Santa Cruz County,"262,382","273,213"
California,Shasta County,"177,223","180,080"
California,Sierra County,"3,240","3,005"
California,Siskiyou County,"44,900","43,539"
California,Solano County,"413,344","447,643"
California,Sonoma County,"483,878","494,336"
California,Stanislaus County,"514,453","550,660"
California,Sutter County,"94,737","96,971"
California,Tehama County,"63,463","65,084"
California,Trinity County,"13,786","12,285"
California,Tulare County,"442,179","466,195"
California,Tuolumne County,"55,365","54,478"
California,Ventura County,"823,318","846,006"
California,Yolo County,"200,849","220,500"
California,Yuba County,"72,155","78,668"
Colorado,Adams County,"441,603","517,421"
Colorado,Alamosa County,"15,445","16,233"
Colorado,Arapahoe County,"572,003","656,590"
Colorado,Archuleta County,"12,084","14,029"
Colorado,Baca County,"3,788","3,581"
Colorado,Bent County,"6,499","5,577"
Colorado,Boulder County,"294,567","326,196"
Colorado,Broomfield County,"55,889","70,465"
Colorado,Chaffee County,"17,809","20,356"
Colorado,Cheyenne County,"1,836","1,831"
Colorado,Clear Creek County,"9,088","9,700"
Colorado,Conejos County,"8,256","8,205"
Colorado,Costilla County,"3,524","3,887"
Colorado,Crowley County,"5,823","6,061"
Colorado,Custer County,"4,255","5,068"
Colorado,Delta County,"30,952","31,162"
Colorado,Denver County,"600,158","727,211"
Colorado,Dolores County,"2,064","2,055"
Colorado,Douglas County,"285,465","351,154"
Colorado,Eagle County,"52,197","55,127"
Colorado,El Paso County,"622,263","720,403"
Colorado,Elbert County,"23,086","26,729"
Colorado,Fremont County,"46,824","47,839"
Colorado,Garfield County,"56,389","60,061"
Colorado,Gilpin County,"5,441","6,243"
Colorado,Grand County,"14,843","15,734"
Colorado,Gunnison County,"15,324","17,462"
Colorado,Hinsdale County,843,820
Colorado,Huerfano County,"6,711","6,897"
Colorado,Jackson County,"1,394","1,392"
Colorado,Jefferson County,"534,543","582,881"
Colorado,Kiowa County,"1,398","1,406"
Colorado,Kit Carson County,"8,270","7,097"
Colorado,La Plata County,"51,334","56,221"
Colorado,Lake County,"7,310","8,127"
Colorado,Larimer County,"299,630","356,899"
Colorado,Las Animas County,"15,507","14,506"
Colorado,Lincoln County,"5,467","5,701"
Colorado,Logan County,"22,709","22,409"
Colorado,Mesa County,"146,723","154,210"
Colorado,Mineral County,712,769
Colorado,Moffat County,"13,795","13,283"
Colorado,Montezuma County,"25,535","26,183"
Colorado,Montrose County,"41,276","42,758"
Colorado,Morgan County,"28,159","29,068"
